,name,longitude,latitude,free_bikes,empty_slots
0,Walmart International,-94.2196,36.36721,7,6
1,Walmart Supply Chain,-94.2229,36.3771,4,4
2,Walmart Ol' Roy,-94.18853,36.36551,10,6
3,Walmart Welcome Center,-94.19446,36.36442,4,3
4,Walmart Training / Redbird Office Building,-94.19562,36.34648,6,6
5,Walmart Purpose,-94.19119,36.36433,6,10
6,Walton Family Whole Health and Fitness Center - South Entrance,-94.19308,36.36562,5,11
7,Walmart 8th & Plate,-94.19128,36.36276,9,7
8,Walmart J Street,-94.20084,36.34559,5,7
9,Walmart Global People Center,-94.21428,36.36455,9,5
10,Sam's Club Home Office,-94.18702,36.34588,5,3
11,Walmart Hula,-94.19016,36.36548,4,12
12,Walmart David Glass Tech. Center East,-94.18056,36.36268,7,8
13,Walmart Layout Center,-94.18594,36.36526,8,8
14,Walmart David Glass Tech. Center West,-94.18195,36.36249,6,6
15,Walmart Facilities,-94.19578,36.3695,2,2
16,Walmart Sam Walton Hall,-94.19307,36.36281,21,11
17,Walmart Con Ops,-94.19605,36.37083,1,1
18,Walmart I Street,-94.19988,36.34104,2,3
19,Walmart Moon Pie,-94.18917,36.36479,8,8
20,Walmart Cheer,-94.19141,36.36528,10,6
21,Walmart Lee Scott Logistics Building,-94.22277,36.37829,3,2
22,Walton Family Whole Health and Fitness - North Entrance,-94.19371,36.36697,2,13
23,Walmart Main Home Office,-94.21728,36.36477,10,12
